req_id,cust_id,time,amount,type,approval
1,2238,2024-06-29 10:58:09,257494.41,Auto,False
2,1152,2024-04-16 09:24:59,192869.28,home,False
3,1939,2024-12-09 02:43:05,318413.43,home,False
4,1094,2024-05-26 21:31:08,12113.4,home,False
5,408,2025-01-29 05:28:45,436229.17,Auto,False
6,716,2024-06-22 19:34:08,72239.42,home,False
7,644,2024-12-04 08:07:17,452488.09,Auto,False
8,2517,2024-12-30 08:22:50,458366.82,Auto,False
9,1499,2024-07-12 03:03:06,369320.92,home,True
10,2971,2024-11-02 00:52:15,27904.51,home,True
11,44,2025-02-23 04:05:26,499693.53,home,False
12,468,2024-04-27 05:06:26,73036.31,Auto,False
13,1451,2024-08-14 07:37:32,73393.53,Auto,False
14,2458,2024-04-02 07:32:50,436690.1,home,False
15,979,2024-10-23 21:43:13,393315.83,home,False
16,457,2024-06-17 22:30:38,353513.13,Auto,False
17,231,2024-12-09 05:24:03,334152.47,home,True
18,1451,2024-10-19 00:34:09,40628.45,Auto,False
19,1016,2024-05-15 18:49:35,122470.61,home,False
20,314,2024-11-13 05:11:34,26048.7,Auto,False
21,1809,2024-11-09 05:11:53,154530.87,home,False
22,2461,2024-11-21 15:18:09,34204.59,Auto,True
23,1496,2024-09-14 06:00:08,231712.38,Auto,True
24,2626,2025-02-14 13:40:45,65955.85,home,True
25,245,2024-07-13 17:05:09,442350.32,home,True
26,469,2024-03-24 11:46:18,409179.46,home,False
27,2932,2025-03-04 15:04:04,397131.64,home,False
28,1245,2024-03-22 08:17:09,321934.29,Auto,False
29,2073,2024-12-16 00:02:54,436677.1,home,False
30,2639,2024-05-09 01:14:11,412306.72,home,False
31,2496,2025-02-26 07:28:12,197259.69,Auto,True
32,2484,2024-09-30 03:47:55,52821.38,Auto,False
33,1989,2024-07-29 12:42:16,287232.27,Auto,False
34,2736,2024-03-23 21:34:57,210141.83,Auto,False
35,43,2024-07-11 01:33:49,229581.33,Auto,False
36,2438,2024-03-16 17:41:56,167998.62,home,False
37,1391,2024-07-24 21:43:41,197456.0,home,False
38,2357,2024-03-31 23:22:03,410223.99,home,False
39,2169,2025-01-16 05:53:19,77815.06,home,True
40,2656,2024-12-08 03:22:04,211486.24,home,False
41,1414,2024-11-24 13:32:47,107824.29,home,False
42,2171,2024-12-08 03:39:38,464171.25,Auto,False
43,428,2024-09-30 11:49:35,353623.72,home,False
44,2669,2024-11-23 08:08:07,308645.79,home,False
45,2659,2024-06-12 16:56:12,490515.56,Auto,False
46,895,2024-09-02 20:11:08,167299.84,Auto,True
47,998,2024-11-28 23:21:13,226709.7,home,False
48,273,2024-11-18 17:56:36,396950.07,Auto,False
49,213,2025-02-09 05:32:26,484765.98,Auto,True
50,563,2024-08-02 18:56:59,480597.18,home,False
51,263,2024-07-31 07:27:06,171561.14,Auto,False
52,854,2024-06-13 09:45:05,193877.28,Auto,True
53,2262,2024-10-28 19:48:49,350266.2,Auto,False
54,2107,2024-09-20 06:52:28,188771.45,home,True
55,1236,2024-04-12 20:41:17,330173.16,home,False
56,1427,2025-01-18 18:55:17,102111.16,home,True
57,2862,2024-09-02 16:25:57,496172.71,home,False
58,2210,2024-10-08 10:59:43,157126.75,Auto,False
59,2947,2024-06-25 08:37:19,210121.83,Auto,True
60,2368,2025-01-09 23:14:39,17829.85,Auto,True
61,884,2024-12-25 10:56:28,177268.52,home,False
62,1438,2024-05-09 04:27:55,268244.22,Auto,False
63,2499,2024-09-13 22:46:53,272923.03,home,True
64,740,2024-04-20 13:48:40,42167.81,Auto,False
65,1877,2024-07-02 13:06:10,97496.57,Auto,False
66,2312,2024-11-20 06:29:52,117688.4,Auto,False
67,626,2024-11-25 19:25:44,423864.44,home,False
68,502,2024-11-03 02:15:42,484016.63,home,False
69,2512,2024-06-28 09:25:44,329276.22,Auto,True
70,328,2025-01-08 19:09:43,156397.78,home,False
71,2025,2024-05-12 22:35:35,170854.68,home,True
72,2410,2024-07-23 23:44:15,191132.83,Auto,False
73,2782,2024-05-13 14:57:37,57816.01,Auto,False
74,2025,2024-05-05 15:47:44,345537.88,home,False
75,2971,2025-03-15 03:46:25,41594.27,home,True
76,2175,2024-06-28 22:42:42,108327.92,home,False
77,618,2024-04-13 22:00:26,275839.58,home,False
78,2001,2024-07-27 21:34:11,332088.15,Auto,True
79,719,2024-10-23 01:25:32,173215.47,home,False
80,2462,2024-12-30 22:38:11,153955.52,Auto,False
81,1319,2024-08-31 10:13:01,142590.03,Auto,False
82,2419,2025-02-10 01:55:11,414635.28,Auto,True
83,193,2024-11-01 10:06:31,210209.57,home,False
84,2932,2025-03-03 17:23:00,416292.74,Auto,True
85,1233,2024-12-11 17:59:10,478933.71,home,False
86,1716,2024-06-04 07:01:33,192324.15,home,False
87,164,2024-03-28 03:24:11,346713.5,home,False
88,2616,2024-09-29 07:04:00,454003.16,Auto,False
89,1832,2024-10-15 13:10:46,427037.71,home,True
90,1024,2024-03-22 02:18:35,261878.81,home,True
91,572,2024-08-25 01:27:59,329635.14,Auto,False
92,2348,2024-08-25 00:05:58,388913.75,home,True
93,1753,2024-06-22 20:27:38,132622.43,Auto,False
94,1335,2024-09-24 11:56:18,475314.19,Auto,False
95,709,2024-05-24 11:39:20,213017.93,home,True
96,1994,2024-04-29 09:42:20,252668.37,home,False
97,2507,2025-01-24 01:29:26,177857.43,home,False
98,2496,2024-09-15 04:17:31,59299.53,Auto,True
99,209,2024-04-18 06:09:28,272713.89,home,False
100,813,2024-09-21 09:26:44,421360.97,Auto,True
101,380,2024-03-26 16:59:51,422912.2,Auto,False
102,721,2024-11-02 13:45:07,170989.2,home,False
103,2225,2024-11-21 19:04:05,412699.16,Auto,False
104,1196,2024-03-20 18:35:34,485827.96,Auto,False
105,2200,2024-07-21 16:45:47,373396.46,home,False
106,933,2024-08-12 01:29:09,23824.58,home,False
107,94,2025-02-09 00:12:57,430021.22,Auto,True
108,664,2024-04-22 10:25:42,56768.99,home,False
109,1807,2024-09-28 09:58:14,238415.57,home,False
110,1156,2025-02-28 21:33:25,67098.24,home,False
111,1444,2024-07-25 06:56:10,87428.78,Auto,False
112,2820,2024-04-02 14:47:35,39499.2,Auto,False
113,2520,2024-10-24 12:31:41,344465.12,home,False
114,1208,2024-04-26 07:02:56,259136.73,home,False
115,836,2024-11-28 11:41:32,91153.8,home,False
116,1628,2024-09-04 23:26:26,447484.59,home,False
117,2524,2024-08-10 07:18:49,432731.24,Auto,True
118,1474,2024-03-25 21:10:45,351384.3,Auto,False
119,240,2025-01-10 07:32:43,136863.73,home,False
120,2907,2025-01-13 20:05:29,368546.79,home,False
121,434,2024-08-17 12:40:41,419325.07,home,False
122,1078,2024-05-08 04:54:38,383547.23,Auto,False
123,303,2024-11-15 21:53:29,163481.16,home,False
124,169,2024-11-25 07:47:15,303308.44,Auto,False
125,2845,2024-07-19 19:52:50,249855.78,Auto,False
126,282,2024-04-25 09:55:11,185220.85,Auto,False
127,1999,2024-06-23 23:48:05,150491.78,home,True
128,1037,2024-04-11 19:28:12,380355.24,Auto,False
129,1937,2024-11-20 10:07:40,321157.15,home,True
130,2292,2025-03-15 06:35:33,391511.82,Auto,False
131,1439,2024-09-30 01:53:46,45055.55,Auto,False
132,366,2024-07-22 02:01:03,460366.67,home,True
133,1704,2024-04-27 18:07:30,75592.84,Auto,True
134,2204,2024-10-05 22:00:43,211239.74,home,False
135,1446,2024-12-28 23:30:20,117635.63,Auto,False
136,24,2024-09-09 02:58:51,337701.97,home,False
137,2326,2024-12-30 14:49:32,98943.67,Auto,True
138,1849,2024-09-04 03:15:23,456707.34,home,False
139,850,2024-04-07 00:45:14,230476.71,home,False
140,2935,2024-05-04 09:02:07,346584.47,home,False
141,1455,2024-07-16 09:25:37,170011.13,Auto,False
142,368,2025-02-28 04:19:48,140740.03,home,False
143,2813,2024-04-27 02:00:46,471608.79,Auto,False
144,2154,2024-10-29 09:55:57,251046.18,home,False
145,1643,2024-07-18 15:47:00,438663.06,Auto,False
146,1554,2024-11-30 15:24:53,334443.95,home,False
147,984,2024-05-23 07:06:03,423846.1,Auto,True
148,1529,2025-02-04 01:33:46,403827.92,home,False
149,91,2024-10-28 17:25:35,492465.71,Auto,False
150,522,2024-06-24 13:23:10,122818.16,Auto,True
151,1190,2025-02-09 05:49:59,115332.44,home,False
152,2822,2024-06-25 00:27:14,461279.41,home,True
153,207,2024-09-22 10:41:40,335225.88,Auto,False
154,2664,2024-10-27 21:57:33,497426.11,home,False
155,1927,2025-03-05 01:36:28,240555.87,home,True
156,107,2024-07-01 17:48:54,308557.47,home,False
157,2112,2024-12-20 20:22:54,237332.04,Auto,False
158,432,2024-05-08 01:13:46,463576.64,home,False
159,1095,2024-11-22 10:40:55,241583.12,Auto,True
160,2343,2024-07-04 10:37:52,98495.02,Auto,True
161,470,2025-03-03 10:15:57,77610.52,Auto,False
162,1556,2024-07-10 10:55:01,79428.13,home,False
